State,County,Urban_Percentage,Total_Population,Housing_Units,Median_Family_Income,Population_Half_Percent,Low_Income_Half_Percent,Vehicle_Half_Percent,Population_1_Percent,Low_Income_1_Percent,Vehicle_1_Percent,"Grocery stores, 2016","Convenience stores, 2016","Fast-food restaurants, 2016","Farmers' markets, 2018"
AL,Autauga,58.333333333333336,54571.0,20221.0,69337.5,90.70202122006194,28.43634897656264,1.914936504736948,68.5785490461967,22.112477323120338,1.5282842535412582,3.0,31.0,44.0,1.0
AL,Baldwin,45.16129032258064,182265.0,73180.0,72665.74193548386,90.8654980385702,26.39947329437906,1.194963377499794,72.6645269250816,21.314020793899,0.9069212410501194,29.0,118.0,156.0,4.0
AL,Barbour,22.22222222222222,27457.0,9820.0,44792.444444444445,86.54259387405762,43.34413810685799,2.702407400662855,69.2246057471683,33.834723385657576,1.984921877845358,4.0,19.0,23.0,4.0
AL,Bibb,0.0,22915.0,7953.0,60645.5,91.59502509273402,36.4346497927122,1.9245036002618368,76.63102771110626,28.278420248745363,1.3615535675321842,5.0,15.0,7.0,1.0
AL,Blount,11.11111111111111,57322.0,21578.0,60437.66666666666,95.83231569031088,34.552178919088654,1.434004396217857,88.70590698161264,31.72952792993964,1.3118872335229057,5.0,27.0,23.0,1.0
AL,Bullock,33.33333333333333,10914.0,3745.0,39524.66666666666,92.24848818031886,42.844053509254174,3.967381345061389,79.79659153380979,36.63184900128276,3.060289536375297,3.0,6.0,3.0,1.0
AL,Butler,22.22222222222222,20947.0,8491.0,50170.66666666666,86.2462405117678,41.280374277939565,2.5874826944192484,62.35737814484175,28.457535685301,1.561082732610875,3.0,22.0,18.0,2.0
AL,Calhoun,70.0,118572.0,47331.0,50331.642857142855,87.0053638295719,35.69982795263637,1.9684242485578385,61.57355868164491,23.354586242957865,1.168910029349256,27.0,84.0,95.0,2.0
AL,Chambers,44.44444444444444,34215.0,13933.0,52413.444444444445,84.50387257051001,37.64138535729943,2.411223147742218,63.61537337425106,26.89463685518048,1.7740756977933654,7.0,22.0,29.0,1.0
AL,Cherokee,16.666666666666664,25989.0,10626.0,51754.66666666666,96.97949132325216,39.78991111624149,1.5275693562661126,92.64688906845204,37.954519219669855,1.3890492131286314,5.0,18.0,15.0,1.0
AL,Chilton,11.11111111111111,43643.0,16558.0,56950.88888888889,94.53062346768095,38.83555209311917,1.718488646518342,84.55880668148386,34.44309511261829,1.4160346447311138,5.0,33.0,22.0,0.0
AL,Choctaw,0.0,13859.0,5866.0,48448.5,96.55097770401903,45.59492026841763,3.867522909300816,88.93859585828703,42.40565697380763,3.420160184717512,3.0,15.0,6.0,1.0
