,LocationAbbr,Mean_Obesity_Pct
0,AK,31.208333333333332
1,AL,36.288000000000004
2,AR,37.28846153846154
3,AZ,31.485185185185188
4,CA,26.659259259259258
5,CO,23.76923076923077
6,CT,30.946153846153848
7,DC,26.037499999999998
8,DE,33.608000000000004
9,FL,26.47407407407407
10,GA,32.573076923076925
11,GU,32.9
12,HI,26.73076923076923
13,IA,33.444
14,ID,29.90833333333333
15,IL,31.792
16,IN,35.17037037037037
17,KS,34.95384615384615
18,KY,36.348
19,LA,36.288000000000004
20,MA,25.504
21,MD,32.74074074074074
22,ME,31.848000000000003
23,MI,35.69259259259259
24,MN,30.87777777777778
25,MO,36.152
26,MS,41.095454545454544
27,MT,29.575
28,NC,34.746153846153845
29,ND,35.15416666666667
30,NE,33.87307692307692
31,NH,32.69130434782608
32,NM,32.224000000000004
33,NV,30.855999999999998
34,NY,27.61851851851852
35,OH,35.09230769230769
36,OK,37.06923076923077
37,OR,29.565384615384616
38,PA,32.944
39,PR,31.947619047619046
40,RI,30.75769230769231
41,SC,35.824
42,SD,34.608333333333334
43,TN,36.092
44,TX,32.84444444444444
45,US,32.017857142857146
46,UT,29.426923076923078
47,VA,32.284615384615385
48,VT,26.875
49,WA,28.848148148148148
50,WI,36.02
51,WV,40.595652173913045
52,WY,30.008333333333336
