State,County,Urban_Percentage,Total_Population,Housing_Units,Median_Family_Income,Population_Half_Percent,Low_Income_Half_Percent,Vehicle_Half_Percent,Population_1_Percent,Low_Income_1_Percent,Vehicle_1_Percent,"Grocery stores, 2016","Convenience stores, 2016","Fast-food restaurants, 2016","Farmers' markets, 2018"
AL,Autauga,58.333333333333336,54571.0,20221.0,69337.5,90.70202122006194,28.43634897656264,1.914936504736948,68.5785490461967,22.112477323120338,1.5282842535412582,0.005497425372450569,0.05680672884865588,0.08062890546260834,0.0018324751241501896
AL,Baldwin,45.16129032258064,182265.0,73180.0,72665.74193548386,90.8654980385702,26.39947329437906,1.194963377499794,72.6645269250816,21.314020793899,0.9069212410501194,0.015910898965791568,0.06474089924011742,0.08558966340218913,0.002194606753902285
AL,Barbour,22.22222222222222,27457.0,9820.0,44792.444444444445,86.54259387405762,43.34413810685799,2.702407400662855,69.2246057471683,33.834723385657576,1.984921877845358,0.014568233965837491,0.06919911133772809,0.08376734530356557,0.014568233965837491
AL,Bibb,0.0,22915.0,7953.0,60645.5,91.59502509273402,36.4346497927122,1.9245036002618368,76.63102771110626,28.278420248745363,1.3615535675321842,0.02181976871045167,0.065459306131355,0.030547676194632337,0.004363953742090334
AL,Blount,11.11111111111111,57322.0,21578.0,60437.66666666666,95.83231569031088,34.552178919088654,1.434004396217857,88.70590698161264,31.72952792993964,1.3118872335229057,0.00872265447821081,0.04710233418233837,0.04012421059976972,0.0017445308956421618
AL,Bullock,33.33333333333333,10914.0,3745.0,39524.66666666666,92.24848818031886,42.844053509254174,3.967381345061389,79.79659153380979,36.63184900128276,3.060289536375297,0.02748763056624519,0.05497526113249038,0.02748763056624519,0.00916254352208173
AL,Butler,22.22222222222222,20947.0,8491.0,50170.66666666666,86.2462405117678,41.280374277939565,2.5874826944192484,62.35737814484175,28.457535685301,1.561082732610875,0.014321859932209862,0.10502697283620566,0.08593115959325918,0.009547906621473243
AL,Calhoun,70.0,118572.0,47331.0,50331.642857142855,87.0053638295719,35.69982795263637,1.9684242485578385,61.57355868164491,23.354586242957865,1.168910029349256,0.02277097459771278,0.0708430320817731,0.0801200958067672,0.0016867388590898356
AL,Chambers,44.44444444444444,34215.0,13933.0,52413.444444444445,84.50387257051001,37.64138535729943,2.411223147742218,63.61537337425106,26.89463685518048,1.7740756977933654,0.020458863071752157,0.06429928393979249,0.08475814701154465,0.0029226947245360223
AL,Cherokee,16.666666666666664,25989.0,10626.0,51754.66666666666,96.97949132325216,39.78991111624149,1.5275693562661126,92.64688906845204,37.954519219669855,1.3890492131286314,0.019238908769094617,0.06926007156874062,0.057716726307283854,0.0038477817538189233
AL,Chilton,11.11111111111111,43643.0,16558.0,56950.88888888889,94.53062346768095,38.83555209311917,1.718488646518342,84.55880668148386,34.44309511261829,1.4160346447311138,0.011456590976788947,0.07561350044680705,0.05040900029787136,0.0
AL,Choctaw,0.0,13859.0,5866.0,48448.5,96.55097770401903,45.59492026841763,3.867522909300816,88.93859585828703,42.40565697380763,3.420160184717512,0.02164658344757919,0.10823291723789595,0.04329316689515838,0.00721552781585973
AL,Clarke,22.22222222222222,25833.0,10337.0,49746.55555555556,92.90829559091084,42.30248132233964,3.956180079742965,79.16618278945535,36.4146634150118,3.452947779971354,0.023226106143305076,0.050323229977160995,0.09677544226377115,0.007742035381101691
AL,Clay,0.0,13932.0,5670.0,48673.0,88.80275624461672,38.78122308354867,1.3422337065747918,75.91874820556991,32.03416594889463,0.9618145277060004,0.02153316106804479,0.04306632213608958,0.02871088142405972,0.01435544071202986
AL,Cleburne,0.0,14972.0,5891.0,52674.0,91.1301095378039,37.3764360138926,1.4360138925995192,83.21533529254609,33.09511087363078,1.3024312049158429,0.013358268768367619,0.08014961261020571,0.03339567192091905,0.0066791343841838095
AL,Coffee,35.714285714285715,49948.0,19849.0,60938.71428571428,87.25474493473212,28.127252342436133,1.9199967966685352,67.21590454072235,20.16497157043325,1.0130535757187475,0.014014575158164492,0.05806038279811004,0.08008328661808281,0.00400416433090414
AL,Colbert,64.28571428571429,54428.0,22773.0,55345.71428571428,87.87756301903433,31.43418828544132,2.287425589769972,66.60174909972808,22.03828911589623,1.4698317042698612,0.014698317042698611,0.08267803336517969,0.0973763504078783,0.0036745792606746527
AL,Conecuh,0.0,13228.0,5625.0,41969.6,92.80314484426974,53.4699123072271,2.585424856365285,76.64801935288781,42.493196250377984,1.9352887813728448,0.0075597218022376775,0.11339582703356517,0.05291805261566374,0.0075597218022376775
AL,Coosa,0.0,11539.0,4794.0,46510.66666666666,95.1122280960222,38.64286333304446,1.7245861859779876,89.70448045757865,35.687667908830925,1.45593205650403,0.008666262241095415,0.06933009792876332,0.008666262241095415,0.0
AL,Covington,28.57142857142857,37765.0,15531.0,54289.92857142857,89.10366741692043,35.874486958824306,1.7847213027935918,70.36409373758772,26.344498874619354,1.1968754137428836,0.015887726731100223,0.0900304514762346,0.071494770289951,0.005295908910366741
AL,Crenshaw,0.0,13906.0,5652.0,54212.16666666666,89.17733352509708,39.30677405436502,2.3874586509420395,77.77218466848842,34.9561340428592,2.0422839062275275,0.028764562059542642,0.050337983604199624,0.057529124119085284,0.0071911405148856605
AL,Cullman,16.666666666666664,80406.0,31864.0,53786.27777777778,94.16710195756536,38.16506230878293,1.4862074969529635,80.42310275352585,32.01502375444619,1.1031515061065094,0.01865532422953511,0.06591547894435738,0.07835236176404746,0.0012436882819690073
AL,Dale,35.714285714285715,50251.0,20065.0,56551.71428571428,93.5941573302024,38.37535571431414,1.982050108455553,80.72078167598656,31.543650872619448,1.2497263736045054,0.01194006089431056,0.05771029432250104,0.06965035521681161,0.00398002029810352
AL,Dallas,46.66666666666666,43820.0,17064.0,42692.8,82.83432222729348,46.49931538110452,4.210406207211319,54.591510725696025,27.104062072113187,1.907804655408489,0.018256503879507075,0.08215426745778183,0.057051574623459604,0.0022820629849383844
AL,DeKalb,0.0,71109.0,26842.0,48581.28571428572,93.53668312028012,45.293844661013374,1.8169289400779085,81.13318989157492,37.88268714227453,1.4920755459927717,0.02250066798858091,0.07031458746431535,0.05625166997145228,0.0028125834985726138
AL,Elmore,26.666666666666668,79303.0,28301.0,71181.26666666666,93.94474357842704,26.343265702432443,1.5295764346872125,82.53155618324654,22.36359280228995,1.3240356606937946,0.010087890748143197,0.06935424889348449,0.04917846739719809,0.0025219726870357993
AL,Escambia,22.22222222222222,38319.0,14157.0,44413.88888888889,90.2241707768992,45.63532451264386,1.367467835799473,69.05190636498865,34.601633654322924,0.9238236905973538,0.010438685769461624,0.07829014327096219,0.07307080038623137,0.005219342884730812
AL,Etowah,70.0,104430.0,42036.0,51122.43333333333,87.91630757445179,32.87465287752562,1.785885282007086,71.10791918031218,24.914296658048453,1.1500526668581823,0.013406109355549171,0.06703054677774586,0.08139423537297712,0.002872737719046251
AL,Fayette,0.0,17241.0,7100.0,48849.0,87.59352705759527,38.91885621483673,2.169247723449916,71.83458036076794,32.53291572414593,1.6936372600197207,0.023200510411229048,0.046401020822458096,0.0754016588364944,0.005800127602807262
AL,Franklin,22.22222222222222,31704.0,12286.0,49578.77777777778,83.28602069139541,38.10560181680545,1.4446126671713349,66.84014635377238,29.88581882412313,1.0061821852132222,0.03154176129195054,0.06308352258390108,0.05362099419631592,0.0063083522583901085
AL,Geneva,16.666666666666664,26790.0,10920.0,51000.66666666666,83.74393430384471,36.67039940276223,1.6312056737588652,73.39305711086226,31.750653228816724,1.351250466592012,0.03732736095558044,0.055991041433370664,0.03732736095558044,0.0
AL,Greene,0.0,9045.0,3764.0,30045.33333333333,88.89994472084024,57.65616362631288,4.853510226644555,79.53565505804312,52.64787175234936,4.223327805417357,0.02211166390270868,0.14372581536760642,0.02211166390270868,0.02211166390270868
AL,Hale,0.0,15760.0,6273.0,47044.0,88.4517766497462,44.2258883248731,3.5723350253807107,82.51269035532995,40.25380710659898,3.026649746192893,0.012690355329949238,0.07614213197969544,0.06345177664974619,0.006345177664974619
AL,Henry,16.666666666666664,17302.0,6994.0,53892.333333333336,92.42862096867417,37.93203097907757,1.9766500982545367,77.47659230146805,32.05987747081262,1.6876661657611838,0.011559357299734134,0.06935614379840481,0.07513582244827188,0.011559357299734134
AL,Houston,63.63636363636363,101547.0,40969.0,53357.40909090909,79.92161265226939,30.92164219523964,1.7400809477384858,51.83904989807675,18.90060760042148,0.8597004342816628,0.016741016475129742,0.06991836292554186,0.1142328183008853,0.002954297025022896
AL,Jackson,18.181818181818183,53227.0,21513.0,48657.36363636364,94.73575441035564,43.29569579348826,1.6965074116519812,81.12612020215305,36.99250380446014,1.3808781257632403,0.020666203242715165,0.07890732147218517,0.060119863978807746,0.001878745749337742
AL,Jefferson,87.73006134969326,658466.0,263568.0,66529.51234567902,80.78442926438115,28.741651049560645,2.431408759146258,46.60696224254555,15.996270118730504,1.2762997633894535,0.016249889895605846,0.06970747160825312,0.10767450407462192,0.0025817582077130785
AL,Lamar,0.0,14564.0,6103.0,49775.66666666666,87.53089810491623,39.46031310079648,2.622905795111233,76.40071408953584,34.57154627849492,2.0324086789343587,0.027464982147761604,0.06179620983246361,0.041197473221642404,0.006866245536940401
AL,Lauderdale,54.54545454545454,92709.0,38680.0,58883.333333333336,87.02930675554693,32.03788197478131,2.300747500242695,61.53124292139922,20.12210249274612,0.9071395441650756,0.02049423464820028,0.05285355251377968,0.0765837189485379,0.0010786439288526465
AL,Lawrence,11.11111111111111,34339.0,13654.0,55221.88888888889,96.59861964530128,35.38250968286788,2.064707766679286,89.35321354727861,32.08596639389615,1.7065144587786485,0.008736422143917994,0.058242814292786625,0.04368211071958997,0.0029121407146393313
AL,Lee,81.48148148148148,140247.0,55682.0,64522.88,84.88737727010204,32.91478605602972,1.4531505130234514,55.15982516560069,18.078105057505685,0.6795154263549309,0.012834499133671308,0.056329190642224074,0.10338902079901888,0.002852110918593624
AL,Limestone,31.25,82782.0,31446.0,66622.625,94.26807760141094,30.395496605542267,1.3457031721871904,82.04319779662245,26.429658621439444,1.0884008600903576,0.012079920755719842,0.07127153245874707,0.06281558792974318,0.0012079920755719842
AL,Lowndes,0.0,11299.0,4352.0,40745.75,97.51305425258872,52.898486591733786,4.9827418355606685,94.30923090538988,50.880608903442784,4.717231613417116,0.017700681476236834,0.07965306664306576,0.008850340738118417,0.008850340738118417
AL,Macon,50.0,21452.0,8499.0,49266.72727272727,95.2265523028156,47.97687861271676,4.633600596680962,82.56106656721984,40.84001491702406,3.7525638635092298,0.018646280067126608,0.060600410218161475,0.04195413015103487,0.004661570016781652
AL,Madison,83.56164383561644,334811.0,134700.0,76157.02739726027,82.76460450821507,23.62616520962573,1.5492322534205865,49.50016576516303,13.243889836355436,0.7831283918389779,0.013739094593666278,0.06481268536577353,0.09945909781936675,0.0020907317859926943
AL,Marengo,16.666666666666664,21027.0,8535.0,50807.833333333336,82.23236790792791,39.36843106482142,2.839206734198887,61.05959005088696,29.733200171208445,1.7976886859751746,0.014267370523612499,0.09987159366528749,0.08560422314167498,0.014267370523612499
AL,Marion,0.0,30776.0,12651.0,47207.625,89.75175461398493,41.67858071224331,1.6376397192617624,75.3379256563556,35.15076683129711,1.1534962308292176,0.009747855471796204,0.07473355861710423,0.06173641798804263,0.006498570314530803
