,LocationAbbr,Mean_Obesity_Pct
0,AK,29.799999999999997
1,AL,36.152
2,AR,34.748000000000005
3,AZ,28.566666666666666
4,CA,24.711111111111112
5,CO,20.585185185185182
6,CT,26.41111111111111
7,DC,23.407692307692308
8,DE,30.77391304347826
9,FL,25.707692307692305
10,GA,29.864
11,GU,31.136
12,HI,24.484
13,IA,32.28260869565217
14,ID,29.175
15,IL,30.2
16,IN,30.464000000000002
17,KS,34.69615384615385
18,KY,34.008
19,LA,35.925000000000004
20,MA,25.403846153846153
21,MD,29.49259259259259
22,ME,29.741666666666664
23,MI,31.18148148148148
24,MN,26.357692307692307
25,MO,32.52
26,MS,35.690909090909095
27,MT,24.6125
28,NC,30.00769230769231
29,ND,31.982608695652175
30,NE,31.526923076923076
31,NH,26.120833333333334
32,NJ,26.5
33,NM,29.524
34,NV,26.44
35,NY,25.58076923076923
36,OH,30.08076923076923
37,OK,34.424
38,OR,29.98
39,PA,30.396
40,PR,29.361904761904764
41,RI,26.096153846153847
42,SC,30.853846153846156
43,SD,30.962500000000002
44,TN,33.996
45,TX,31.85
46,US,29.085714285714285
47,UT,26.21851851851852
48,VA,29.51923076923077
49,VT,26.541666666666668
50,WA,26.49285714285714
51,WI,31.728
52,WV,35.94782608695652
53,WY,29.652173913043477
