,Year,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Total,Age(years),Education,Gender,Grade,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
5,2011,RI,Rhode Island,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.5,8.9,14.8,1199.0,,,,,9th,,,"(41.708280193, -71.522470314)",OWS,OWS1,Q038,VALUE,44,Grade,9th,GRADE,GRADE09
42,2011,VT,Vermont,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,9.2,6.8,12.3,1956.0,,,,,9th,,,"(43.625381239, -72.517640791)",OWS,OWS1,Q038,VALUE,50,Grade,9th,GRADE,GRADE09
56,2011,IN,Indiana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,18.3,13.1,24.9,209.0,,,,,,,Hispanic,"(39.766910452, -86.149960194)",OWS,OWS1,Q038,VALUE,18,Race/Ethnicity,Hispanic,RACE,RACEHIS
71,2011,FL,Florida,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,7.7,6.6,9.0,2804.0,,,,Female,,,,"(28.932040377, -81.928960539)",OWS,OWS1,Q038,VALUE,12,Gender,Female,GEN,FEMALE
91,2011,IA,Iowa,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.2,10.4,16.7,1432.0,Total,,,,,,,"(42.469400913, -93.816490556)",OWS,OWS1,Q038,VALUE,19,Total,Total,OVR,OVERALL
99,2011,MT,Montana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,9.0,7.2,11.1,1017.0,,,,,11th,,,"(47.066528972, -109.424420645)",OWS,OWS1,Q038,VALUE,30,Grade,11th,GRADE,GRADE11
102,2011,NJ,New Jersey,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,9.1,5.9,13.9,448.0,,,,,9th,,,"(40.130570048, -74.273691288)",OWS,OWS1,Q038,VALUE,34,Grade,9th,GRADE,GRADE09
118,2011,US,National,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.0,11.7,14.4,14285.0,Total,,,,,,,,OWS,OWS1,Q038,VALUE,59,Total,Total,OVR,OVERALL
123,2011,US,National,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.6,11.9,15.6,3444.0,,,,,9th,,,,OWS,OWS1,Q038,VALUE,59,Grade,9th,GRADE,GRADE09
174,2011,US,National,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.5,10.7,14.5,3485.0,,,,,12th,,,,OWS,OWS1,Q038,VALUE,59,Grade,12th,GRADE,GRADE12
